Player,Country,Position,Goals,Minutes Played,Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied,Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Offers To Receive,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Receptions In Behind,Receptions Between Midfield And Defensive Line,Receptions Under Pressure,Player Involvements,Average Speed (km/h),High Speed Running,Sprints,Total Distance (m),Attacking Impact Score,Passing Impact Score,Defensive Impact Score,Movement Impact Score,Goalkeeping Impact Score,Cluster,Player Archetype,Overall Performance Score,Performance Rating,Goalkeeping Rating,PC1,PC2
Carney Chukwuemeka,AUT,MF,0.0,108.0,0,1,2,0,2,0,0,0.56,0.0,0,30,25,83,0,0,1,0,0,0,0,0,7,51,4,2,2,0,0,0,0,,,,39,11,17,11,24,15,1,18,27,77,4.93,160,58,11569.81,-0.0911853100148126,-1.4632541362528833,-0.040121369298968,-0.623751647637794,,0,Balanced Contributors,0.4319084697954709,13.3,,-0.4761213784525637,0.28991697985331943
Casemiro,BRA,MF,1.0,425.0,0,2,4,25,2,2,2,0.66,1.51,0,224,200,89,4,25,1,8,50,4,100,0,20,103,26,6,6,2,0,0,0,,,,114,6,37,71,85,29,2,15,79,487,6.37,449,116,45002.51,2.2530001732409803,3.2047562201892945,3.389476865013835,3.2023707816968896,,3,Complete Midfielders,1.443566898695774,44.4,,2.705460457717991,-0.3011422665185931
Castrop Jens,KOR,DF,0.0,51.0,0,0,0,0,0,0,0,0.0,0.0,0,30,27,90,4,25,1,2,100,1,100,0,2,13,5,3,0,0,0,0,0,,,,19,4,15,0,3,16,3,13,12,65,2.16,40,32,5519.79,-1.3243189297858935,0.9308039866446524,-1.0553046359543516,-1.7420274970964904,,0,Balanced Contributors,0.4072324006164085,12.5,,-0.6371360833704505,-0.4842321887795175
Cecilio Waterman,PAN,FW,0.0,85.0,0,1,2,0,2,0,0,0.05,0.0,0,10,7,70,0,0,0,1,0,0,0,0,7,19,2,1,1,0,0,0,0,,,,19,14,5,0,17,2,1,12,13,26,3.89,82,34,8772.9,-0.4881038081539663,-1.738337672353896,-0.6899616080095679,-1.6570039889420822,,2,Limited Tournament Impact,0.271270695748036,8.3,,-0.9818729558932541,0.31232392408074655
Cedric Bakambu,COD,FW,0.0,210.0,0,0,3,0,1,2,1,0.24,0.0,0,23,16,70,1,0,2,1,0,0,0,0,7,80,4,2,1,0,0,0,4,,,,155,91,64,0,128,27,2,29,29,63,4.6,256,117,21517.52,-0.0070013852532437,-1.3945975711646943,0.1091763354346971,2.576754503564453,,0,Balanced Contributors,0.6424845090026661,19.8,,0.1512476111567046,0.14527214320147994
Cedric Itten,SUI,FW,0.0,62.0,0,0,0,0,0,0,0,0.0,0.0,0,5,3,60,1,0,0,0,0,0,0,0,4,27,6,4,2,0,0,0,0,,,,28,26,2,0,22,6,1,6,7,19,3.63,89,33,7441.56,-1.3243189297858935,-1.8859293386000788,-0.3698307368866838,-1.6273575239750346,,2,Limited Tournament Impact,0.2627731850093018,8.1,,-1.0706944817501134,0.0002870249957289017
Cesar Blackman,PAN,DF,0.0,187.0,0,1,2,0,2,0,0,0.08,0.0,0,79,69,87,0,0,4,2,100,0,0,0,7,41,12,2,2,1,0,0,1,,,,68,10,47,11,7,61,1,23,51,172,3.91,180,64,18333.59,-0.4647556612046044,0.2252929068424315,0.3418111219980375,0.5120662160967017,,0,Balanced Contributors,0.6538959698075674,20.1,,0.15562948226911447,-0.27392239898099
Cesar Huerta,MEX,FW,0.0,12.0,0,0,0,0,0,0,0,0.0,0.0,0,2,2,100,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,,,,3,3,0,0,0,3,0,1,3,5,1.49,21,7,1580.4,-1.3243189297858935,-1.6365531372146325,-1.5260388157850056,-2.865764347160102,,2,Limited Tournament Impact,0.0952405089188861,2.9,,-1.5656641867103473,0.12541945147514352
Cesar Montes,MEX,DF,0.0,349.0,0,1,1,0,1,0,1,0.06,0.0,0,170,156,92,2,0,0,5,40,2,100,0,9,14,4,4,4,0,1,0,0,,,,26,2,1,23,13,13,1,3,23,361,5.3,267,84,31113.19,-0.5109726862578832,1.655408730751541,0.0186194033582165,-0.1448631289986865,,0,Balanced Contributors,0.692960150937362,21.3,,0.2712679541557125,-0.5119971726764871
Cesar Samudio,PAN,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,-1.2038479457474982,-1,Goalkeeper,0.0,0.0,0.0,-1.8491850714187297,0.31666064731001287
Cesar Yanis,PAN,MF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,,2,Limited Tournament Impact,0.0,0.0,,-1.8491850714187297,0.31666064731001287
Chadi Riad,MAR,DF,0.0,390.0,1,0,1,0,1,0,1,0.12,0.0,0,226,212,94,0,0,1,1,0,1,100,0,7,30,12,0,1,0,0,0,0,,,,77,0,3,74,48,29,0,2,22,464,3.94,393,99,38595.32,-0.3016441983575577,1.2515801715405563,0.0478616956324814,1.1098977469851314,,0,Balanced Contributors,0.7455453306708347,22.9,,0.4409320043413054,-0.4153205168354924
Chancel Mbemba,COD,DF,0.0,409.0,1,0,1,0,1,0,0,0.05,0.0,0,162,130,80,4,0,2,7,43,3,100,0,9,23,12,1,2,1,0,0,0,,,,35,2,1,32,12,23,0,11,35,340,5.4,347,135,36904.51,-0.6012926007529947,2.124151217717005,0.2669813513008118,0.5891010990292503,,0,Balanced Contributors,0.7936697280217064,24.4,,0.5630931694086189,-0.6973085198112474
Charles De Ketelaere,BEL,FW,3.0,385.0,1,5,6,50,6,0,3,1.51,1.98,0,91,72,79,5,0,3,13,46,1,0,0,19,146,18,2,3,0,0,0,2,,,,161,101,56,4,105,56,10,80,82,230,5.32,426,217,40926.71,6.130742412138573,1.1472438925374866,2.794738141785164,5.670616961925557,,1,Dynamic Attackers,1.510405815857267,46.4,,3.1908758129029646,1.4804756875352842
Charles Pickel,COD,MF,0.0,45.0,0,0,1,0,1,0,0,0.1,0.0,0,22,19,86,0,0,0,0,0,2,50,0,3,25,3,2,1,1,0,0,0,,,,24,6,10,8,9,15,0,4,11,46,3.67,77,35,5540.28,-0.9706707866873904,-0.8261829279171761,-0.8111443806805559,-1.7868084538225986,,2,Limited Tournament Impact,0.305035502832634,9.4,,-0.9165101323080864,-0.02798206703366365
Che Adams,SCO,FW,0.0,160.0,0,1,1,0,1,0,0,0.15,0.0,0,19,12,63,0,0,0,2,0,0,0,0,6,73,4,4,2,0,0,0,0,,,,63,34,26,3,56,7,3,9,16,41,6.82,192,75,17234.99,-0.686097638256723,-1.649567837700456,0.1413488336568917,0.1824003859995616,,0,Balanced Contributors,0.4609293246427611,14.2,,-0.43634811305093507,0.05281033380403879
Chemsdine Talbi,MAR,MF,0.0,217.0,1,0,2,0,1,1,0,0.05,0.0,0,54,47,87,9,11,1,3,33,0,0,0,6,59,7,0,0,0,0,0,0,,,,84,42,31,11,25,59,3,25,34,144,5.75,280,128,23817.14,-0.2965216060078955,-0.0992416279270754,-0.173121490077447,1.539751948624412,,0,Balanced Contributors,0.6440075000670294,19.8,,0.13731906205098435,-0.1422006693975132
