Player,Country,Position,Goals,Minutes Played,Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied,Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Offers To Receive,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Receptions In Behind,Receptions Between Midfield And Defensive Line,Receptions Under Pressure,Player Involvements,Average Speed (km/h),High Speed Running,Sprints,Total Distance (m),PC1,PC2
Ellyes Skhiri,TUN,MF,0.0,267.0,0,0,0,0,0,0,0,0.0,0.0,0,109,99,91,0,0,0,3,0,2,100,1,10,40,10,0,1,0,0,0,0,,,,63,2,18,43,53,10,0,7,20,230,6.61,286,59,29334.81,-1.3243189297858935,-0.023297763363791982
Eloy Room,CUW,GK,0.0,300.0,0,0,0,0,0,0,0,0.0,0.0,0,89,48,54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,81.0,72.0,9,0,0,9,3,6,0,0,3,160,3.12,15,1,15611.7,-1.3243189297858935,-0.023297763363791982
Elye Wahi,CIV,FW,0.0,127.0,0,2,3,0,3,0,0,0.48,0.0,0,21,15,71,1,0,0,3,33,0,0,0,5,60,3,0,0,0,0,0,0,,,,56,37,19,0,49,7,3,24,22,55,4.51,154,63,13009.5,0.3680335215692492,-0.5702122725248601
Emam Ashour,EGY,MF,2.0,395.0,0,2,10,20,5,5,1,1.06,1.89,4,207,176,85,3,0,3,7,57,3,100,0,19,72,12,2,13,0,0,0,0,,,,241,49,128,64,114,127,5,50,85,471,6.48,522,185,42840.52,4.776100242216967,0.14585793885005596
Emiliano Martinez,ARG,GK,0.0,794.0,0,0,0,0,0,0,0,0.0,0.0,0,211,161,76,0,0,0,8,25,0,0,0,0,0,0,0,0,0,0,0,0,8.0,76.0,64.0,38,0,0,38,21,17,0,0,2,352,2.72,56,12,31299.07,-1.3243189297858935,-0.023297763363791982
Emiliano Martinez,URU,MF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Emmanuel Agbadou,CIV,DF,0.0,308.0,0,1,3,0,1,2,1,0.05,0.0,0,154,142,92,0,0,0,1,0,0,0,0,4,28,8,0,0,0,0,0,0,,,,31,0,6,25,17,14,0,5,31,323,4.16,250,72,28516.79,0.09078658758252779,-0.5873529168035823
Endrick,BRA,FW,0.0,146.0,0,0,3,0,2,1,0,0.68,0.0,0,20,16,80,1,0,1,4,25,0,0,0,3,53,5,1,1,0,0,0,1,,,,51,36,12,3,44,7,2,18,20,57,4.67,103,57,13958.58,0.06131870234600362,-0.5646474371096811
Enner Valencia,ECU,FW,0.0,311.0,0,6,10,0,9,1,2,1.53,0.0,0,40,33,83,1,0,2,1,0,0,0,0,8,91,11,4,7,0,0,0,2,,,,98,56,35,7,64,34,9,42,43,125,5.71,233,108,29489.89,4.617892645566569,-2.0104709208031872
Enzo Fernandez,ARG,MF,2.0,658.0,0,4,12,17,4,8,2,0.9,2.22,0,483,448,93,5,40,5,20,75,8,88,0,28,121,14,6,4,0,0,0,1,,,,276,44,104,128,155,121,4,72,125,853,5.44,753,248,60303.56,5.767386244159206,-0.2463688298765684
