Player,Country,Position,Goals,Minutes Played,Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied,Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Offers To Receive,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Receptions In Behind,Receptions Between Midfield And Defensive Line,Receptions Under Pressure,Player Involvements,Average Speed (km/h),High Speed Running,Sprints,Total Distance (m),PC1,PC2
Aaron Hickey,SCO,DF,0.0,79.0,0,0,0,0,0,0,0,0.0,0.0,0,42,38,90,1,0,0,1,100,0,0,0,1,16,5,2,4,1,0,0,0,,,,26,2,9,15,1,25,0,2,5,83,2.11,103,30,8361.39,-1.3243189297858935,-0.023297763363791982
Aaron Tshibola,COD,MF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Aaron Wan Bissaka,COD,DF,0.0,399.0,0,0,0,0,0,0,0,0.0,0.0,0,137,109,80,7,29,2,5,60,0,0,0,12,104,14,1,1,0,0,0,1,,,,141,58,48,35,39,102,5,19,54,287,6.07,460,194,40401.23,-1.3243189297858935,-0.023297763363791982
Abbosbek Fayzullaev,UZB,MF,1.0,240.0,0,2,3,33,2,1,1,1.0,1.0,5,36,24,67,9,22,1,2,50,1,100,0,17,137,27,6,4,0,0,0,0,,,,104,45,52,7,64,40,0,30,33,102,6.32,341,141,25301.81,2.3352517900546155,1.0388510415763381
Abdallah Alfakhori,JOR,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Abdallah Nasib,JOR,DF,0.0,287.0,0,0,0,0,0,0,0,0.0,0.0,0,97,70,72,0,0,0,1,0,0,0,0,12,38,6,1,1,0,0,0,0,,,,29,0,2,27,1,28,0,1,13,190,5.62,269,86,26869.89,-1.3243189297858935,-0.023297763363791982
Abdoulaye Seck,SEN,DF,0.0,66.0,1,0,2,0,1,1,1,0.05,0.0,0,30,26,87,0,0,0,1,0,0,0,0,1,3,1,1,1,1,0,0,0,,,,7,0,0,7,3,4,0,2,7,66,1.38,51,16,6142.53,-0.05135221316096985,-0.5782313525404229
Abdukodir Khusanov,UZB,DF,0.0,311.0,0,0,0,0,0,0,0,0.0,0.0,0,98,81,83,0,0,0,1,0,1,100,0,11,23,8,6,0,2,0,0,0,,,,16,2,1,13,7,9,0,1,31,214,5.37,218,93,27912.88,-1.3243189297858935,-0.023297763363791982
Abdul Fatawu,GHA,FW,0.0,163.0,0,0,3,0,1,2,0,0.1,0.0,2,22,18,82,7,14,7,8,50,1,100,0,11,50,5,1,8,1,0,0,0,,,,45,19,23,3,4,41,3,24,38,90,6.21,211,93,16816.62,-0.23635789162433876,-0.5163136481803515
Abdul Mumin,GHA,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Abdulaziz Hatem,QAT,MF,0.0,51.0,0,0,0,0,0,0,0,0.0,0.0,0,32,26,81,0,0,0,2,50,0,0,0,1,20,0,1,0,0,0,0,0,,,,31,5,13,13,26,5,2,5,20,65,2.28,86,28,5826.99,-1.3243189297858935,-0.023297763363791982
Abdulelah Alamri,KSA,DF,1.0,268.0,0,2,4,25,3,1,1,0.93,1.07,0,99,81,82,1,100,0,3,67,0,0,0,7,23,5,1,0,1,0,0,0,,,,30,4,2,24,15,15,2,2,15,212,5.67,252,89,25207.74,2.1533689074482587,0.7580074618413097
Abdulkerim Bardakci,TUR,DF,0.0,300.0,0,0,3,0,1,2,0,0.07,0.0,0,242,222,92,6,33,1,3,33,5,60,0,3,27,12,1,3,0,0,0,0,,,,25,2,1,22,11,14,1,2,24,516,6.08,258,93,30419.01,-0.384476944146554,-0.46101255928761486
Abdulla Abdullaev,UZB,DF,0.0,206.0,0,0,0,0,0,0,0,0.0,0.0,0,72,65,90,0,0,1,1,100,0,0,0,7,22,7,5,1,0,0,0,0,,,,13,1,1,11,6,7,0,0,7,143,3.82,191,57,19761.96,-1.3243189297858935,-0.023297763363791982
Abdullah Alhamddan,KSA,FW,0.0,88.0,0,2,2,0,1,1,0,0.2,0.0,0,22,16,73,1,0,1,2,50,0,0,0,5,62,5,2,0,0,0,0,0,,,,39,13,21,5,24,15,0,16,17,52,7.86,170,70,10726.97,-0.09675349508095639,-0.42741781645863075
Abdullah Alkhaibari,KSA,MF,0.0,203.0,0,0,1,0,0,1,0,0.01,0.0,0,58,48,83,0,0,1,1,0,0,0,0,8,81,7,0,2,0,0,0,0,,,,46,1,15,30,33,13,0,7,30,133,7.08,345,76,23607.42,-1.0117652193910067,-0.1786165541339997
Abduvohid Nematov,UZB,GK,0.0,206.0,0,0,0,0,0,0,0,0.0,0.0,0,56,28,50,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0,55.0,44.0,18,0,0,18,13,5,0,0,3,106,1.79,20,2,9231.32,-1.3243189297858935,-0.023297763363791982
Achraf Hakimi,MAR,DF,1.0,650.0,2,4,14,7,6,8,0,0.96,1.04,21,449,402,90,38,32,11,7,86,6,83,0,19,93,30,7,16,1,0,0,0,,,,253,79,114,60,102,151,12,92,167,971,5.89,624,296,63750.68,7.28979546091251,-2.3006749497923127
Achref Abada,ALG,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Adalberto Carrasquilla,PAN,MF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Adam Arous,TUN,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Adam Hlozek,CZE,FW,0.0,172.0,0,1,3,0,2,1,0,0.31,0.0,0,26,18,69,1,100,3,1,100,0,0,0,6,92,7,4,4,0,0,0,0,,,,44,20,20,4,32,12,4,26,31,70,6.77,251,94,19420.45,0.019017793485603243,-0.5237100929190626
Adil Boulbina,ALG,FW,0.0,28.0,0,0,0,0,0,0,0,0.0,0.0,0,19,16,84,0,0,1,1,100,1,100,0,1,13,0,0,0,0,0,0,1,,,,46,20,19,7,13,33,2,6,20,42,3.53,54,21,3442.77,-1.3243189297858935,-0.023297763363791982
Adrien Rabiot,FRA,MF,0.0,555.0,1,1,8,0,3,5,2,0.83,0.0,0,311,286,92,2,0,2,11,73,1,100,0,10,111,29,11,3,1,0,0,1,,,,198,54,49,95,135,63,8,28,109,681,5.59,696,214,60628.85,2.8172545227327546,-1.7327003541458816
Agustin Canobbio,URU,MF,1.0,261.0,0,1,4,25,4,0,1,0.75,1.33,0,68,61,90,9,33,2,5,60,0,0,0,16,107,16,7,5,0,1,0,1,,,,141,76,50,15,42,99,9,50,60,185,6.44,348,162,28186.33,1.75973351267555,0.9730502711855425
Ahmed Alaaeldin,QAT,FW,0.0,55.0,0,1,1,0,1,0,0,0.13,0.0,0,8,4,50,0,0,0,1,0,0,0,0,2,22,4,1,1,0,0,0,0,,,,20,11,8,1,15,5,0,8,11,26,4.31,70,30,6052.91,-0.7016630695562976,-0.2135506237214755
Ahmed Alganehi,QAT,MF,0.0,41.0,0,0,1,0,0,1,0,0.05,0.0,2,12,11,92,2,100,1,0,0,0,0,0,3,18,4,1,0,0,0,0,0,,,,7,2,4,1,3,4,0,2,8,27,2.04,51,24,4200.63,-0.8558634512190042,-0.2362312650304007
Ahmed Alkassar,KSA,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Ahmed Basil,IRQ,GK,0.0,149.0,0,0,0,0,0,0,0,0.0,0.0,0,71,42,59,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,43.0,36.0,12,0,0,12,8,4,0,0,2,124,1.87,10,2,7048.26,-1.3243189297858935,-0.023297763363791982
Ahmed Fathy,QAT,MF,0.0,163.0,0,0,0,0,0,0,0,0.0,0.0,0,65,59,91,0,0,0,2,0,1,100,0,10,73,10,2,1,2,0,0,0,,,,49,3,18,28,41,8,0,4,14,146,6.63,312,80,18273.99,-1.3243189297858935,-0.023297763363791982
Ahmed Fatouh,EGY,DF,0.0,301.0,0,1,1,0,1,0,0,0.13,0.0,0,182,163,90,7,14,1,11,64,0,0,0,24,49,9,2,3,1,0,0,0,,,,77,19,25,33,21,56,2,23,57,370,3.93,408,166,32856.27,-0.7016630695562976,-0.2135506237214755
Ahmed Maknazi,IRQ,DF,0.0,38.0,0,0,0,0,0,0,0,0.0,0.0,0,5,3,60,0,0,1,0,0,0,0,0,2,23,5,0,0,0,0,0,0,,,,1,0,1,0,1,0,0,1,9,16,2.2,55,16,4276.36,-1.3243189297858935,-0.023297763363791982
Ahmed Qasem,IRQ,FW,0.0,135.0,0,0,0,0,0,0,0,0.0,0.0,0,16,13,81,1,0,0,1,100,0,0,0,3,81,6,0,1,0,0,0,0,,,,52,37,14,1,31,21,2,11,21,47,6.29,215,78,15459.21,-1.3243189297858935,-0.023297763363791982
Ahmed Reda Tagnaouti,MAR,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Aiden Oneill,AUS,MF,0.0,406.0,0,0,2,0,1,1,0,0.07,0.0,4,172,142,83,8,50,3,12,42,3,33,0,25,105,15,2,8,0,0,0,0,,,,138,6,61,71,103,35,1,23,103,388,6.97,648,186,47323.13,-0.4397061277459466,-0.4047278362845588
Aiman Yahya,KSA,FW,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Aimar Sher,IRQ,MF,0.0,24.0,0,0,0,0,0,0,0,0.0,0.0,0,22,20,91,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,,,,27,1,8,18,23,4,0,2,2,49,2.56,41,6,3139.09,-1.3243189297858935,-0.023297763363791982
Aissa Mandi,ALG,DF,0.0,403.0,0,0,0,0,0,0,0,0.0,0.0,0,382,357,93,0,0,0,5,20,10,90,0,14,19,6,0,5,0,0,0,0,,,,33,3,4,26,13,20,0,1,27,774,5.62,331,81,37858.06,-1.3243189297858935,-0.023297763363791982
Ajdin Hrustic,AUS,FW,0.0,90.0,0,0,3,0,2,1,0,0.11,0.0,1,31,27,87,5,40,1,0,0,0,0,0,5,40,2,1,0,0,0,0,0,,,,51,14,32,5,27,24,2,15,30,80,3.74,183,58,11460.39,-0.3199106369054474,-0.45695109434168635
Akam Hashim,IRQ,DF,0.0,303.0,0,0,1,0,0,1,0,0.03,0.0,0,148,126,85,0,0,4,3,33,1,100,0,3,16,7,0,3,0,0,0,0,,,,20,1,2,17,6,14,1,1,25,313,5.56,270,79,28097.87,-0.9961997880914322,-0.18324379814132838
Akmal Mozgovoy,UZB,MF,0.0,243.0,1,0,1,0,1,0,0,0.08,0.0,0,79,65,82,0,0,2,8,50,3,67,0,5,83,8,0,3,0,0,0,0,,,,115,10,80,25,84,31,1,16,40,182,6.81,361,94,27540.59,-0.5779444538036328,-0.3458661182065379
Akram Afif,QAT,FW,0.0,269.0,0,0,2,0,1,1,0,0.16,0.0,7,93,73,78,12,33,2,12,42,3,67,0,16,54,5,0,4,0,0,0,2,,,,83,23,54,6,42,41,2,40,69,217,5.2,194,104,23536.07,-0.1825053285385808,-0.4980907686401533
Ala Alhajji,KSA,MF,0.0,43.0,0,0,0,0,0,0,0,0.0,0.0,0,17,16,94,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,,,,17,3,12,2,11,6,0,7,13,37,5.08,98,33,5355.08,-1.3243189297858935,-0.023297763363791982
Alan Franco,ECU,MF,0.0,270.0,0,0,0,0,0,0,0,0.0,0.0,0,148,140,95,4,0,0,3,33,0,0,0,9,40,14,7,0,2,0,0,0,,,,48,11,11,26,14,34,2,7,31,300,6.1,307,134,27468.83,-1.3243189297858935,-0.023297763363791982
Alan Minda,ECU,MF,0.0,59.0,0,0,2,0,1,1,0,0.44,0.0,0,16,12,75,2,0,0,1,0,0,0,0,1,28,1,0,1,0,0,0,0,,,,32,16,16,0,12,20,2,10,14,43,1.55,80,31,6170.77,-0.401287459849522,-0.3936114046566515
Alban Lafont,CIV,GK,0.0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Alberto Quintero,PAN,MF,0.0,8.0,0,0,0,0,0,0,0,0.0,0.0,0,3,3,100,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,5,2,2,1,3,2,0,2,1,8,2.86,17,8,1246.31,-1.3243189297858935,-0.023297763363791982
Alejandro Romero Gamarra,PAR,FW,0.0,18.0,0,0,0,0,0,0,0,0.0,0.0,0,10,6,60,0,0,0,0,0,1,100,0,3,13,5,1,1,0,0,0,0,,,,6,0,1,5,5,1,0,0,9,24,1.41,35,11,2181.02,-1.3243189297858935,-0.023297763363791982
Aleksandar Pavlovic,GER,MF,0.0,300.0,0,1,4,0,1,3,0,0.37,0.0,0,260,240,92,1,0,1,1,0,1,100,0,27,76,20,13,4,1,0,0,0,,,,158,4,54,100,119,39,0,20,67,548,7.64,597,165,38018.1,0.39943509027389573,-0.7280930581090496
Alessandro Circati,AUS,DF,0.0,438.0,0,0,3,0,2,1,2,0.13,0.0,0,221,177,80,1,0,1,10,60,4,75,0,12,48,28,5,4,1,0,0,0,,,,55,4,10,41,16,39,0,9,63,448,6.09,424,142,44568.44,0.12360812730155195,-0.6100000900648122
Alessandro Schoepf,AUT,MF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Alex Arce,PAR,FW,0.0,64.0,0,0,0,0,0,0,0,0.0,0.0,0,10,7,70,0,0,0,0,0,0,0,0,1,32,4,1,0,1,0,0,0,,,,11,6,2,3,7,4,0,8,10,22,2.85,122,46,7712.6,-1.3243189297858935,-0.023297763363791982
Alex Baena,ESP,MF,1.0,444.0,1,4,11,9,4,7,0,0.4,2.49,24,198,162,82,37,19,3,16,63,2,100,0,22,131,21,9,7,1,0,0,2,,,,274,122,112,40,148,126,12,127,89,496,5.51,544,230,47445.55,5.91812421066206,-1.0805204924204537
Alex Freeman,USA,DF,1.0,442.0,1,1,4,25,4,0,3,0.78,1.28,0,283,256,90,4,0,13,9,67,4,75,0,17,64,20,1,1,0,0,0,0,,,,108,10,34,64,20,88,4,22,76,591,6.46,545,179,47281.6,2.6776616200310066,0.5874120985441781
Alex Grimaldo,ESP,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Alex Paulsen,NZL,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Alex Rufer,NZL,MF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Alex Sandro,BRA,DF,0.0,15.0,0,0,0,0,0,0,0,0.0,0.0,0,13,13,100,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,,,,6,2,2,2,1,5,0,2,2,25,1.45,31,8,1822.47,-1.3243189297858935,-0.023297763363791982
Alex Zendejas,USA,FW,0.0,22.0,0,0,1,0,1,0,0,0.0,0.0,0,7,6,86,1,0,0,1,0,0,0,0,1,16,2,1,0,0,0,0,0,,,,11,3,6,2,7,4,0,2,4,19,1.62,53,20,3064.71,-1.0484979431852635,-0.1388068677288777
Alexander Bernhardsson,SWE,DF,0.0,233.0,0,1,1,0,0,1,0,0.05,0.0,0,67,51,76,3,0,4,3,67,1,100,0,14,81,9,2,5,0,0,0,0,,,,40,15,15,10,10,30,0,28,36,150,4.85,268,90,25109.78,-0.7349747866101267,-0.2325377120936186
Alexander Isak,SWE,FW,1.0,389.0,3,6,8,13,5,3,1,0.68,1.48,0,81,65,80,4,0,3,5,60,2,50,0,5,110,15,4,1,0,0,0,5,,,,134,64,66,4,105,29,7,57,69,194,5.5,346,155,35655.02,5.215260754356084,-0.8121180863004744
Alexander Nuebel,GER,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Alexander Prass,AUT,MF,0.0,41.0,0,0,0,0,0,0,0,0.0,0.0,0,25,22,88,3,0,0,3,33,0,0,0,0,5,0,0,0,0,0,0,0,,,,21,11,7,3,7,14,1,8,8,54,3.55,61,28,4686.43,-1.3243189297858935,-0.023297763363791982
Alexander Schlager,AUT,GK,0.0,412.0,0,0,0,0,0,0,0,0.0,0.0,0,123,106,86,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.0,85.0,74.0,64,0,0,64,48,16,0,0,2,247,3.4,81,20,23367.49,-1.3243189297858935,-0.023297763363791982
Alexander Sorloth,NOR,FW,0.0,363.0,0,1,5,0,5,0,1,0.6,0.0,0,110,88,80,5,20,2,5,100,0,0,0,9,70,8,6,2,0,0,0,2,,,,135,56,78,1,49,86,3,83,88,276,5.38,483,187,38789.92,1.0125779052331516,-0.8706282069323764
Alexandr Sojka,CZE,MF,0.0,155.0,1,0,0,0,0,0,0,0.0,0.0,1,65,52,80,5,40,3,1,0,3,33,0,18,84,9,0,2,0,0,0,0,,,,66,10,36,20,26,40,0,24,44,155,8.04,321,108,19628.07,-0.8536417128161344,-0.23602814925300938
Alexandre Pierre,HAI,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Alexandro Maidana,PAR,DF,0.0,69.0,0,0,0,0,0,0,0,0.0,0.0,0,19,13,68,1,0,0,0,0,0,0,0,2,30,6,0,0,0,0,0,0,,,,9,4,3,2,2,7,1,4,8,38,2.91,101,38,8335.08,-1.3243189297858935,-0.023297763363791982
Alexis Mac Allister,ARG,MF,1.0,728.0,1,4,13,8,10,3,9,1.92,0.52,0,400,368,92,1,0,1,2,0,3,100,0,17,155,28,6,9,0,0,0,0,,,,190,39,60,91,143,47,2,45,165,778,6.21,729,176,64741.99,8.07449832101706,-2.44176456022935
Alexis Saelemaekers,BEL,MF,1.0,107.0,0,1,4,25,3,1,0,0.14,7.01,1,42,33,79,2,50,2,2,100,0,0,0,4,25,1,0,2,0,0,0,2,,,,74,23,37,14,40,34,2,29,18,106,5.01,141,64,12229.42,1.5913008900382193,3.1319371704256094
Alexis Vega,MEX,FW,0.0,18.0,0,0,0,0,0,0,0,0.0,0.0,0,10,10,100,1,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,,,,12,5,4,3,7,5,2,3,6,25,1.22,28,10,1915.42,-1.3243189297858935,-0.023297763363791982
Alfie Jones,CAN,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Alhashmi Alhussein,QAT,DF,0.0,41.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,8,2,2,0,0,0,0,,,,1,0,1,0,0,1,0,1,1,1,1.97,50,20,4072.3,-1.3243189297858935,-0.023297763363791982
Ali Abdi,TUN,DF,0.0,293.0,0,0,1,0,0,1,0,0.05,0.0,1,74,51,69,5,0,2,5,60,0,0,0,22,102,24,4,2,0,0,0,0,,,,102,46,48,8,21,81,5,17,35,153,6.13,343,150,29932.97,-0.9182489040054308,-0.21205115358952886
Ali Ahmed,CAN,FW,0.0,258.0,0,1,3,0,1,2,0,0.29,0.0,2,65,51,78,15,20,3,5,40,1,100,0,18,113,12,1,5,0,0,0,0,,,,124,50,60,14,37,87,5,45,45,188,5.24,341,172,27940.35,0.15717327590335117,-0.6049391361949352
Ali Alhamadi,IRQ,FW,0.0,201.0,0,0,6,0,4,2,2,0.95,0.0,0,35,26,74,0,0,1,0,0,0,0,0,13,71,11,1,5,0,0,0,0,,,,100,53,45,2,79,21,5,23,33,90,6.76,258,112,22671.28,1.6182037785304715,-1.183740471862002
Ali Alipour,IRN,FW,0.0,42.0,0,0,1,0,1,0,0,0.04,0.0,0,8,4,50,0,0,0,1,100,0,0,0,2,13,4,1,1,0,0,0,0,,,,17,10,7,0,13,4,0,5,7,21,2.2,51,27,4655.69,-1.0173670805861141,-0.14806135574353502
Ali Azaizeh,JOR,FW,0.0,78.0,0,0,2,0,1,1,1,0.06,0.0,1,13,12,92,1,0,1,0,0,0,0,0,3,47,3,1,1,0,0,0,0,,,,30,11,19,0,18,12,0,12,16,35,7.27,129,40,9229.12,-0.38947580890808814,-0.41617481153661345
Ali Jasim,IRQ,FW,0.0,144.0,0,1,4,0,0,4,0,0.11,0.0,3,36,29,81,5,0,1,4,75,1,100,0,27,58,8,1,0,0,0,0,0,,,,55,16,32,7,21,34,4,23,39,96,4.46,252,92,15703.59,0.41319084988317445,-0.7779752847378504
Ali Lajami,KSA,DF,0.0,177.0,0,0,0,0,0,0,0,0.0,0.0,0,68,56,82,0,0,0,4,75,5,80,0,3,7,3,0,2,0,0,0,0,,,,11,0,1,10,6,5,0,1,16,138,5.8,145,54,16522.11,-1.3243189297858935,-0.023297763363791982
Ali Majrashi,KSA,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Ali Nemati,IRN,DF,0.0,309.0,0,0,1,0,1,0,0,0.06,0.0,0,129,114,88,3,33,0,3,0,2,100,0,5,24,10,3,0,1,0,0,1,,,,28,3,1,24,12,16,1,4,22,265,6.14,369,108,31613.92,-1.0018016492865396,-0.15268859975086368
Ali Olwan,JOR,FW,1.0,297.0,0,3,6,17,4,2,1,0.25,3.93,0,48,36,75,8,38,6,4,50,1,100,0,11,154,7,1,4,0,0,0,1,,,,63,22,36,5,30,33,12,40,47,147,6.79,411,138,33572.53,2.5851210915506115,1.2787428600288537
Ali Yousif,IRQ,FW,0.0,38.0,0,0,0,0,0,0,0,0.0,0.0,0,4,4,100,0,0,0,0,0,0,0,0,2,17,1,1,0,0,0,0,0,,,,5,3,2,0,4,1,0,2,3,8,2.35,69,22,4539.67,-1.3243189297858935,-0.023297763363791982
Alidu Seidu,GHA,DF,0.0,92.0,0,0,0,0,0,0,0,0.0,0.0,0,27,25,93,1,0,1,0,0,0,0,0,0,16,6,1,0,1,0,0,0,,,,4,2,2,0,0,4,0,2,15,65,1.36,73,34,8378.97,-1.3243189297858935,-0.023297763363791982
Alireza Beiranvand,IRN,GK,0.0,309.0,0,0,0,0,0,0,0,0.0,0.0,0,93,62,67,0,0,2,2,0,1,100,0,0,0,0,0,1,0,0,0,0,15.0,75.0,65.0,32,0,0,32,18,14,0,0,4,185,2.59,19,0,13335.74,-1.3243189297858935,-0.023297763363791982
Alireza Jahanbakhsh,IRN,MF,0.0,58.0,0,0,1,0,1,0,0,0.04,0.0,0,11,7,64,2,50,1,1,100,0,0,0,2,20,0,2,0,0,0,0,0,,,,35,16,13,6,20,15,1,6,10,30,4.37,84,30,6517.05,-1.0173670805861141,-0.14806135574353502
Alisson,BRA,GK,0.0,520.0,0,0,0,0,0,0,0,0.0,0.0,0,132,107,81,0,0,1,3,0,1,100,0,0,0,0,0,0,0,0,0,0,15.0,67.0,59.0,19,0,0,19,14,5,0,0,0,266,3.07,16,2,26656.8,-1.3243189297858935,-0.023297763363791982
Alistair Johnston,CAN,DF,0.0,511.0,0,2,5,0,4,1,2,0.18,0.0,2,240,184,77,24,25,3,17,53,2,100,0,12,52,16,5,4,1,0,0,0,,,,176,53,50,73,39,137,8,47,88,509,6.28,683,264,53458.13,1.3302537246880628,-0.990279971584972
Almoez Ali,QAT,FW,0.0,24.0,0,1,1,0,1,0,1,0.05,0.0,0,3,2,67,0,0,0,1,100,0,0,0,1,11,2,0,0,0,0,0,0,,,,15,3,10,2,10,5,0,2,5,9,2.3,38,11,2859.04,-0.5187554019076704,-0.28134257927049544
Alphonso Davies,CAN,DF,0.0,22.0,0,0,0,0,0,0,0,0.0,0.0,0,18,14,78,1,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,,,,13,6,7,0,3,10,0,14,8,41,1.4,37,17,2589.59,-1.3243189297858935,-0.023297763363791982
Altay Bayindir,TUR,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
