Player,Country,Position,Goals,Assists_x,Minutes Played,Assists_y,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied,Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Offers To Receive,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Receptions In Behind,Receptions Between Midfield And Defensive Line,Receptions Under Pressure,Player Involvements,Average Speed (km/h),High Speed Running,Sprints,Total Distance (m)
Marten De Roon,NED,MF,0.0,0.0,11.0,0,0,0,0,0,0,0,0.0,0x,0,1,1,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,1,0,0,1,1,0,0,0,0,2,1.75,23,4,1374.64
Martin Baturina,CRO,MF,1.0,0.0,344.0,0,1,3,33,0,3,0,0.1,10.18x,2,93,80,86,10,20,8,8,50,1,100,0,17,119,8,1,14,0,0,0,0,,,,119,40,62,17,59,60,3,53,74,240,6.58,489,175,37805.67
Martin Erlic,CRO,DF,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Martin Experience,HAI,DF,0.0,0.0,306.0,0,0,1,0,0,1,0,0.01,0x,0,111,93,84,6,0,1,6,33,3,100,0,26,91,26,7,6,0,0,0,0,,,,116,41,45,30,32,84,1,25,47,243,6.65,447,187,33997.02
Martin Odegaard,NOR,MF,0.0,4.0,537.0,4,3,9,0,5,4,0,0.72,0x,12,367,322,88,16,19,3,18,56,0,0,0,18,195,18,3,4,0,0,0,0,,,,329,29,173,127,212,117,5,99,132,789,5.86,878,302,62928.93
Martin Zlomislic,BIH,GK,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Martin Zubimendi,ESP,MF,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Marvin Keller,SUI,GK,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Marvin Senaya,GHA,DF,0.0,0.0,312.0,0,0,2,0,1,1,0,0.1,0x,0,91,75,82,8,25,1,4,75,1,100,0,34,89,24,6,4,0,0,0,0,,,,55,17,11,27,12,43,3,10,25,201,5.77,285,171,31108.53
Matej Kovar,CZE,GK,0.0,0.0,301.0,0,0,0,0,0,0,0,0.0,0x,0,97,62,64,0,0,0,3,33,0,0,0,0,0,0,0,0,0,0,0,0,11.0,60.0,52.0,13,0,0,13,7,6,0,0,10,181,2.86,19,2,14358.61
Mateo Chavez,MEX,DF,1.0,0.0,81.0,0,1,1,100,1,0,0,0.49,2.04x,0,26,23,88,1,0,2,2,50,0,0,0,5,18,3,1,1,0,0,0,0,,,,50,9,27,14,14,36,0,6,5,49,1.24,96,41,8450.23
Mateo Kovacic,CRO,MF,0.0,1.0,293.0,1,4,5,0,1,4,0,0.46,0x,0,208,198,95,0,0,2,3,67,2,100,0,7,95,16,3,3,0,0,0,0,,,,88,4,27,57,60,28,1,15,86,442,6.73,354,108,32503.08
Matheus Cunha,BRA,FW,3.0,0.0,324.0,0,4,10,30,5,5,1,1.21,2.49x,3,90,78,87,5,0,3,11,36,0,0,0,9,133,16,1,3,0,0,0,1,,,,184,53,92,39,146,38,2,46,71,223,6.2,417,134,33491.79
Matheus Nunes,POR,MF,0.0,0.0,4.0,0,0,0,0,0,0,0,0.0,0x,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,1,0,1,0,0,0,0,2,1.39,6,2,432.75
Mathew Leckie,AUS,FW,0.0,0.0,67.0,0,0,1,0,1,0,0,0.1,0x,0,10,7,70,1,0,0,0,0,0,0,0,2,30,4,1,1,0,0,0,0,,,,7,3,3,1,6,1,1,9,14,33,1.64,100,31,7358.47
Mathew Ryan,AUS,GK,0.0,0.0,2.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.95,2,0,206.87
Mathias Olivera,URU,DF,0.0,0.0,313.0,0,0,1,0,1,0,1,0.05,0x,0,226,213,94,3,0,1,6,50,3,100,0,20,42,18,3,0,1,0,0,0,,,,36,8,8,20,14,22,1,10,40,480,6.63,458,126,34595.17
Mathieu Choiniere,CAN,MF,0.0,0.0,61.0,0,0,0,0,0,0,0,0.0,0x,1,29,23,79,4,50,0,2,50,1,100,0,2,19,2,1,1,0,0,0,0,,,,19,0,7,12,12,7,0,5,10,63,1.48,132,43,7597.41
