Player,Country,Position,Goals,Assists_x,Minutes Played,Assists_y,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied,Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Offers To Receive,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Receptions In Behind,Receptions Between Midfield And Defensive Line,Receptions Under Pressure,Player Involvements,Average Speed (km/h),High Speed Running,Sprints,Total Distance (m)
Aaron Hickey,SCO,DF,0.0,0.0,79.0,0,0,0,0,0,0,0,0.0,0x,0,42,38,90,1,0,0,1,100,0,0,0,1,16,5,2,4,1,0,0,0,,,,26,2,9,15,1,25,0,2,5,83,2.11,103,30,8361.39
Aaron Tshibola,COD,MF,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Aaron Wan Bissaka,COD,DF,0.0,0.0,399.0,0,0,0,0,0,0,0,0.0,0x,0,137,109,80,7,29,2,5,60,0,0,0,12,104,14,1,1,0,0,0,1,,,,141,58,48,35,39,102,5,19,54,287,6.07,460,194,40401.23
Abbosbek Fayzullaev,UZB,MF,1.0,0.0,240.0,0,2,3,33,2,1,1,1.0,1x,5,36,24,67,9,22,1,2,50,1,100,0,17,137,27,6,4,0,0,0,0,,,,104,45,52,7,64,40,0,30,33,102,6.32,341,141,25301.81
Abdallah Alfakhori,JOR,GK,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Abdallah Nasib,JOR,DF,0.0,0.0,287.0,0,0,0,0,0,0,0,0.0,0x,0,97,70,72,0,0,0,1,0,0,0,0,12,38,6,1,1,0,0,0,0,,,,29,0,2,27,1,28,0,1,13,190,5.62,269,86,26869.89
Abdoulaye Seck,SEN,DF,0.0,1.0,66.0,1,0,2,0,1,1,1,0.05,0x,0,30,26,87,0,0,0,1,0,0,0,0,1,3,1,1,1,1,0,0,0,,,,7,0,0,7,3,4,0,2,7,66,1.38,51,16,6142.53
Abdukodir Khusanov,UZB,DF,0.0,0.0,311.0,0,0,0,0,0,0,0,0.0,0x,0,98,81,83,0,0,0,1,0,1,100,0,11,23,8,6,0,2,0,0,0,,,,16,2,1,13,7,9,0,1,31,214,5.37,218,93,27912.88
Abdul Fatawu,GHA,FW,0.0,0.0,163.0,0,0,3,0,1,2,0,0.1,0x,2,22,18,82,7,14,7,8,50,1,100,0,11,50,5,1,8,1,0,0,0,,,,45,19,23,3,4,41,3,24,38,90,6.21,211,93,16816.62
Abdul Mumin,GHA,DF,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Abdulaziz Hatem,QAT,MF,0.0,0.0,51.0,0,0,0,0,0,0,0,0.0,0x,0,32,26,81,0,0,0,2,50,0,0,0,1,20,0,1,0,0,0,0,0,,,,31,5,13,13,26,5,2,5,20,65,2.28,86,28,5826.99
Abdulelah Alamri,KSA,DF,1.0,0.0,268.0,0,2,4,25,3,1,1,0.93,1.07x,0,99,81,82,1,100,0,3,67,0,0,0,7,23,5,1,0,1,0,0,0,,,,30,4,2,24,15,15,2,2,15,212,5.67,252,89,25207.74
Abdulkerim Bardakci,TUR,DF,0.0,0.0,300.0,0,0,3,0,1,2,0,0.07,0x,0,242,222,92,6,33,1,3,33,5,60,0,3,27,12,1,3,0,0,0,0,,,,25,2,1,22,11,14,1,2,24,516,6.08,258,93,30419.01
Abdulla Abdullaev,UZB,DF,0.0,0.0,206.0,0,0,0,0,0,0,0,0.0,0x,0,72,65,90,0,0,1,1,100,0,0,0,7,22,7,5,1,0,0,0,0,,,,13,1,1,11,6,7,0,0,7,143,3.82,191,57,19761.96
Abdullah Alhamddan,KSA,FW,0.0,0.0,88.0,0,2,2,0,1,1,0,0.2,0x,0,22,16,73,1,0,1,2,50,0,0,0,5,62,5,2,0,0,0,0,0,,,,39,13,21,5,24,15,0,16,17,52,7.86,170,70,10726.97
Abdullah Alkhaibari,KSA,MF,0.0,0.0,203.0,0,0,1,0,0,1,0,0.01,0x,0,58,48,83,0,0,1,1,0,0,0,0,8,81,7,0,2,0,0,0,0,,,,46,1,15,30,33,13,0,7,30,133,7.08,345,76,23607.42
Abduvohid Nematov,UZB,GK,0.0,0.0,206.0,0,0,0,0,0,0,0,0.0,0x,0,56,28,50,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0,55.0,44.0,18,0,0,18,13,5,0,0,3,106,1.79,20,2,9231.32
Achraf Hakimi,MAR,DF,1.0,2.0,650.0,2,4,14,7,6,8,0,0.96,1.04x,21,449,402,90,38,32,11,7,86,6,83,0,19,93,30,7,16,1,0,0,0,,,,253,79,114,60,102,151,12,92,167,971,5.89,624,296,63750.68
Achref Abada,ALG,DF,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Adalberto Carrasquilla,PAN,MF,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Adam Arous,TUN,DF,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Adam Hlozek,CZE,FW,0.0,0.0,172.0,0,1,3,0,2,1,0,0.31,0x,0,26,18,69,1,100,3,1,100,0,0,0,6,92,7,4,4,0,0,0,0,,,,44,20,20,4,32,12,4,26,31,70,6.77,251,94,19420.45
Adil Boulbina,ALG,FW,0.0,0.0,28.0,0,0,0,0,0,0,0,0.0,0x,0,19,16,84,0,0,1,1,100,1,100,0,1,13,0,0,0,0,0,0,1,,,,46,20,19,7,13,33,2,6,20,42,3.53,54,21,3442.77
Adrien Rabiot,FRA,MF,0.0,1.0,555.0,1,1,8,0,3,5,2,0.83,0x,0,311,286,92,2,0,2,11,73,1,100,0,10,111,29,11,3,1,0,0,1,,,,198,54,49,95,135,63,8,28,109,681,5.59,696,214,60628.85
Agustin Canobbio,URU,MF,1.0,0.0,261.0,0,1,4,25,4,0,1,0.75,1.33x,0,68,61,90,9,33,2,5,60,0,0,0,16,107,16,7,5,0,1,0,1,,,,141,76,50,15,42,99,9,50,60,185,6.44,348,162,28186.33
Ahmed Alaaeldin,QAT,FW,0.0,0.0,55.0,0,1,1,0,1,0,0,0.13,0x,0,8,4,50,0,0,0,1,0,0,0,0,2,22,4,1,1,0,0,0,0,,,,20,11,8,1,15,5,0,8,11,26,4.31,70,30,6052.91
Ahmed Alganehi,QAT,MF,0.0,0.0,41.0,0,0,1,0,0,1,0,0.05,0x,2,12,11,92,2,100,1,0,0,0,0,0,3,18,4,1,0,0,0,0,0,,,,7,2,4,1,3,4,0,2,8,27,2.04,51,24,4200.63
Ahmed Alkassar,KSA,GK,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Ahmed Basil,IRQ,GK,0.0,0.0,149.0,0,0,0,0,0,0,0,0.0,0x,0,71,42,59,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,43.0,36.0,12,0,0,12,8,4,0,0,2,124,1.87,10,2,7048.26
Ahmed Fathy,QAT,MF,0.0,0.0,163.0,0,0,0,0,0,0,0,0.0,0x,0,65,59,91,0,0,0,2,0,1,100,0,10,73,10,2,1,2,0,0,0,,,,49,3,18,28,41,8,0,4,14,146,6.63,312,80,18273.99
Ahmed Fatouh,EGY,DF,0.0,0.0,301.0,0,1,1,0,1,0,0,0.13,0x,0,182,163,90,7,14,1,11,64,0,0,0,24,49,9,2,3,1,0,0,0,,,,77,19,25,33,21,56,2,23,57,370,3.93,408,166,32856.27
Ahmed Maknazi,IRQ,DF,0.0,0.0,38.0,0,0,0,0,0,0,0,0.0,0x,0,5,3,60,0,0,1,0,0,0,0,0,2,23,5,0,0,0,0,0,0,,,,1,0,1,0,1,0,0,1,9,16,2.2,55,16,4276.36
Ahmed Qasem,IRQ,FW,0.0,0.0,135.0,0,0,0,0,0,0,0,0.0,0x,0,16,13,81,1,0,0,1,100,0,0,0,3,81,6,0,1,0,0,0,0,,,,52,37,14,1,31,21,2,11,21,47,6.29,215,78,15459.21
Ahmed Reda Tagnaouti,MAR,GK,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Aiden Oneill,AUS,MF,0.0,0.0,406.0,0,0,2,0,1,1,0,0.07,0x,4,172,142,83,8,50,3,12,42,3,33,0,25,105,15,2,8,0,0,0,0,,,,138,6,61,71,103,35,1,23,103,388,6.97,648,186,47323.13
Aiman Yahya,KSA,FW,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Aimar Sher,IRQ,MF,0.0,0.0,24.0,0,0,0,0,0,0,0,0.0,0x,0,22,20,91,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,,,,27,1,8,18,23,4,0,2,2,49,2.56,41,6,3139.09
Aissa Mandi,ALG,DF,0.0,0.0,403.0,0,0,0,0,0,0,0,0.0,0x,0,382,357,93,0,0,0,5,20,10,90,0,14,19,6,0,5,0,0,0,0,,,,33,3,4,26,13,20,0,1,27,774,5.62,331,81,37858.06
Ajdin Hrustic,AUS,FW,0.0,0.0,90.0,0,0,3,0,2,1,0,0.11,0x,1,31,27,87,5,40,1,0,0,0,0,0,5,40,2,1,0,0,0,0,0,,,,51,14,32,5,27,24,2,15,30,80,3.74,183,58,11460.39
Akam Hashim,IRQ,DF,0.0,0.0,303.0,0,0,1,0,0,1,0,0.03,0x,0,148,126,85,0,0,4,3,33,1,100,0,3,16,7,0,3,0,0,0,0,,,,20,1,2,17,6,14,1,1,25,313,5.56,270,79,28097.87
Akmal Mozgovoy,UZB,MF,0.0,1.0,243.0,1,0,1,0,1,0,0,0.08,0x,0,79,65,82,0,0,2,8,50,3,67,0,5,83,8,0,3,0,0,0,0,,,,115,10,80,25,84,31,1,16,40,182,6.81,361,94,27540.59
Akram Afif,QAT,FW,0.0,0.0,269.0,0,0,2,0,1,1,0,0.16,0x,7,93,73,78,12,33,2,12,42,3,67,0,16,54,5,0,4,0,0,0,2,,,,83,23,54,6,42,41,2,40,69,217,5.2,194,104,23536.07
Ala Alhajji,KSA,MF,0.0,0.0,43.0,0,0,0,0,0,0,0,0.0,0x,0,17,16,94,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,,,,17,3,12,2,11,6,0,7,13,37,5.08,98,33,5355.08
Alan Franco,ECU,MF,0.0,0.0,270.0,0,0,0,0,0,0,0,0.0,0x,0,148,140,95,4,0,0,3,33,0,0,0,9,40,14,7,0,2,0,0,0,,,,48,11,11,26,14,34,2,7,31,300,6.1,307,134,27468.83
Alan Minda,ECU,MF,0.0,0.0,59.0,0,0,2,0,1,1,0,0.44,0x,0,16,12,75,2,0,0,1,0,0,0,0,1,28,1,0,1,0,0,0,0,,,,32,16,16,0,12,20,2,10,14,43,1.55,80,31,6170.77
Alban Lafont,CIV,GK,,,,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Alberto Quintero,PAN,MF,0.0,0.0,8.0,0,0,0,0,0,0,0,0.0,0x,0,3,3,100,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,5,2,2,1,3,2,0,2,1,8,2.86,17,8,1246.31
Alejandro Romero Gamarra,PAR,FW,0.0,0.0,18.0,0,0,0,0,0,0,0,0.0,0x,0,10,6,60,0,0,0,0,0,1,100,0,3,13,5,1,1,0,0,0,0,,,,6,0,1,5,5,1,0,0,9,24,1.41,35,11,2181.02
Aleksandar Pavlovic,GER,MF,0.0,0.0,300.0,0,1,4,0,1,3,0,0.37,0x,0,260,240,92,1,0,1,1,0,1,100,0,27,76,20,13,4,1,0,0,0,,,,158,4,54,100,119,39,0,20,67,548,7.64,597,165,38018.1
Alessandro Circati,AUS,DF,0.0,0.0,438.0,0,0,3,0,2,1,2,0.13,0x,0,221,177,80,1,0,1,10,60,4,75,0,12,48,28,5,4,1,0,0,0,,,,55,4,10,41,16,39,0,9,63,448,6.09,424,142,44568.44
Alessandro Schoepf,AUT,MF,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Alex Arce,PAR,FW,0.0,0.0,64.0,0,0,0,0,0,0,0,0.0,0x,0,10,7,70,0,0,0,0,0,0,0,0,1,32,4,1,0,1,0,0,0,,,,11,6,2,3,7,4,0,8,10,22,2.85,122,46,7712.6
Alex Baena,ESP,MF,1.0,1.0,444.0,1,4,11,9,4,7,0,0.4,2.49x,24,198,162,82,37,19,3,16,63,2,100,0,22,131,21,9,7,1,0,0,2,,,,274,122,112,40,148,126,12,127,89,496,5.51,544,230,47445.55
Alex Freeman,USA,DF,1.0,1.0,442.0,1,1,4,25,4,0,3,0.78,1.28x,0,283,256,90,4,0,13,9,67,4,75,0,17,64,20,1,1,0,0,0,0,,,,108,10,34,64,20,88,4,22,76,591,6.46,545,179,47281.6
Alex Grimaldo,ESP,DF,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Alex Paulsen,NZL,GK,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Alex Rufer,NZL,MF,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Alex Sandro,BRA,DF,0.0,0.0,15.0,0,0,0,0,0,0,0,0.0,0x,0,13,13,100,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,,,,6,2,2,2,1,5,0,2,2,25,1.45,31,8,1822.47
Alex Zendejas,USA,FW,0.0,0.0,22.0,0,0,1,0,1,0,0,0.0,0x,0,7,6,86,1,0,0,1,0,0,0,0,1,16,2,1,0,0,0,0,0,,,,11,3,6,2,7,4,0,2,4,19,1.62,53,20,3064.71
Alexander Bernhardsson,SWE,DF,0.0,0.0,233.0,0,1,1,0,0,1,0,0.05,0x,0,67,51,76,3,0,4,3,67,1,100,0,14,81,9,2,5,0,0,0,0,,,,40,15,15,10,10,30,0,28,36,150,4.85,268,90,25109.78
Alexander Isak,SWE,FW,1.0,3.0,389.0,3,6,8,13,5,3,1,0.68,1.48x,0,81,65,80,4,0,3,5,60,2,50,0,5,110,15,4,1,0,0,0,5,,,,134,64,66,4,105,29,7,57,69,194,5.5,346,155,35655.02
Alexander Nuebel,GER,GK,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Alexander Prass,AUT,MF,0.0,0.0,41.0,0,0,0,0,0,0,0,0.0,0x,0,25,22,88,3,0,0,3,33,0,0,0,0,5,0,0,0,0,0,0,0,,,,21,11,7,3,7,14,1,8,8,54,3.55,61,28,4686.43
Alexander Schlager,AUT,GK,0.0,0.0,412.0,0,0,0,0,0,0,0,0.0,0x,0,123,106,86,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.0,85.0,74.0,64,0,0,64,48,16,0,0,2,247,3.4,81,20,23367.49
Alexander Sorloth,NOR,FW,0.0,0.0,363.0,0,1,5,0,5,0,1,0.6,0x,0,110,88,80,5,20,2,5,100,0,0,0,9,70,8,6,2,0,0,0,2,,,,135,56,78,1,49,86,3,83,88,276,5.38,483,187,38789.92
Alexandr Sojka,CZE,MF,0.0,1.0,155.0,1,0,0,0,0,0,0,0.0,0x,1,65,52,80,5,40,3,1,0,3,33,0,18,84,9,0,2,0,0,0,0,,,,66,10,36,20,26,40,0,24,44,155,8.04,321,108,19628.07
Alexandre Pierre,HAI,GK,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Alexandro Maidana,PAR,DF,0.0,0.0,69.0,0,0,0,0,0,0,0,0.0,0x,0,19,13,68,1,0,0,0,0,0,0,0,2,30,6,0,0,0,0,0,0,,,,9,4,3,2,2,7,1,4,8,38,2.91,101,38,8335.08
Alexis Mac Allister,ARG,MF,1.0,1.0,728.0,1,4,13,8,10,3,9,1.92,0.52x,0,400,368,92,1,0,1,2,0,3,100,0,17,155,28,6,9,0,0,0,0,,,,190,39,60,91,143,47,2,45,165,778,6.21,729,176,64741.99
Alexis Saelemaekers,BEL,MF,1.0,0.0,107.0,0,1,4,25,3,1,0,0.14,7.01x,1,42,33,79,2,50,2,2,100,0,0,0,4,25,1,0,2,0,0,0,2,,,,74,23,37,14,40,34,2,29,18,106,5.01,141,64,12229.42
Alexis Vega,MEX,FW,0.0,0.0,18.0,0,0,0,0,0,0,0,0.0,0x,0,10,10,100,1,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,,,,12,5,4,3,7,5,2,3,6,25,1.22,28,10,1915.42
Alfie Jones,CAN,DF,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Alhashmi Alhussein,QAT,DF,0.0,0.0,41.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,2,20,8,2,2,0,0,0,0,,,,1,0,1,0,0,1,0,1,1,1,1.97,50,20,4072.3
Ali Abdi,TUN,DF,0.0,0.0,293.0,0,0,1,0,0,1,0,0.05,0x,1,74,51,69,5,0,2,5,60,0,0,0,22,102,24,4,2,0,0,0,0,,,,102,46,48,8,21,81,5,17,35,153,6.13,343,150,29932.97
Ali Ahmed,CAN,FW,0.0,0.0,258.0,0,1,3,0,1,2,0,0.29,0x,2,65,51,78,15,20,3,5,40,1,100,0,18,113,12,1,5,0,0,0,0,,,,124,50,60,14,37,87,5,45,45,188,5.24,341,172,27940.35
Ali Alhamadi,IRQ,FW,0.0,0.0,201.0,0,0,6,0,4,2,2,0.95,0x,0,35,26,74,0,0,1,0,0,0,0,0,13,71,11,1,5,0,0,0,0,,,,100,53,45,2,79,21,5,23,33,90,6.76,258,112,22671.28
Ali Alipour,IRN,FW,0.0,0.0,42.0,0,0,1,0,1,0,0,0.04,0x,0,8,4,50,0,0,0,1,100,0,0,0,2,13,4,1,1,0,0,0,0,,,,17,10,7,0,13,4,0,5,7,21,2.2,51,27,4655.69
Ali Azaizeh,JOR,FW,0.0,0.0,78.0,0,0,2,0,1,1,1,0.06,0x,1,13,12,92,1,0,1,0,0,0,0,0,3,47,3,1,1,0,0,0,0,,,,30,11,19,0,18,12,0,12,16,35,7.27,129,40,9229.12
Ali Jasim,IRQ,FW,0.0,0.0,144.0,0,1,4,0,0,4,0,0.11,0x,3,36,29,81,5,0,1,4,75,1,100,0,27,58,8,1,0,0,0,0,0,,,,55,16,32,7,21,34,4,23,39,96,4.46,252,92,15703.59
Ali Lajami,KSA,DF,0.0,0.0,177.0,0,0,0,0,0,0,0,0.0,0x,0,68,56,82,0,0,0,4,75,5,80,0,3,7,3,0,2,0,0,0,0,,,,11,0,1,10,6,5,0,1,16,138,5.8,145,54,16522.11
Ali Majrashi,KSA,DF,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Ali Nemati,IRN,DF,0.0,0.0,309.0,0,0,1,0,1,0,0,0.06,0x,0,129,114,88,3,33,0,3,0,2,100,0,5,24,10,3,0,1,0,0,1,,,,28,3,1,24,12,16,1,4,22,265,6.14,369,108,31613.92
Ali Olwan,JOR,FW,1.0,0.0,297.0,0,3,6,17,4,2,1,0.25,3.93x,0,48,36,75,8,38,6,4,50,1,100,0,11,154,7,1,4,0,0,0,1,,,,63,22,36,5,30,33,12,40,47,147,6.79,411,138,33572.53
Ali Yousif,IRQ,FW,0.0,0.0,38.0,0,0,0,0,0,0,0,0.0,0x,0,4,4,100,0,0,0,0,0,0,0,0,2,17,1,1,0,0,0,0,0,,,,5,3,2,0,4,1,0,2,3,8,2.35,69,22,4539.67
Alidu Seidu,GHA,DF,0.0,0.0,92.0,0,0,0,0,0,0,0,0.0,0x,0,27,25,93,1,0,1,0,0,0,0,0,0,16,6,1,0,1,0,0,0,,,,4,2,2,0,0,4,0,2,15,65,1.36,73,34,8378.97
Alireza Beiranvand,IRN,GK,0.0,0.0,309.0,0,0,0,0,0,0,0,0.0,0x,0,93,62,67,0,0,2,2,0,1,100,0,0,0,0,0,1,0,0,0,0,15.0,75.0,65.0,32,0,0,32,18,14,0,0,4,185,2.59,19,0,13335.74
Alireza Jahanbakhsh,IRN,MF,0.0,0.0,58.0,0,0,1,0,1,0,0,0.04,0x,0,11,7,64,2,50,1,1,100,0,0,0,2,20,0,2,0,0,0,0,0,,,,35,16,13,6,20,15,1,6,10,30,4.37,84,30,6517.05
Alisson,BRA,GK,0.0,0.0,520.0,0,0,0,0,0,0,0,0.0,0x,0,132,107,81,0,0,1,3,0,1,100,0,0,0,0,0,0,0,0,0,0,15.0,67.0,59.0,19,0,0,19,14,5,0,0,0,266,3.07,16,2,26656.8
Alistair Johnston,CAN,DF,0.0,0.0,511.0,0,2,5,0,4,1,2,0.18,0x,2,240,184,77,24,25,3,17,53,2,100,0,12,52,16,5,4,1,0,0,0,,,,176,53,50,73,39,137,8,47,88,509,6.28,683,264,53458.13
Almoez Ali,QAT,FW,0.0,0.0,24.0,0,1,1,0,1,0,1,0.05,0x,0,3,2,67,0,0,0,1,100,0,0,0,1,11,2,0,0,0,0,0,0,,,,15,3,10,2,10,5,0,2,5,9,2.3,38,11,2859.04
Alphonso Davies,CAN,DF,0.0,0.0,22.0,0,0,0,0,0,0,0,0.0,0x,0,18,14,78,1,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,,,,13,6,7,0,3,10,0,14,8,41,1.4,37,17,2589.59
Altay Bayindir,TUR,GK,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Alvaro Fidalgo,MEX,MF,1.0,0.0,117.0,0,2,3,33,2,1,0,0.35,2.85x,0,77,72,94,3,0,0,3,0,2,100,0,6,35,4,0,2,0,0,0,0,,,,90,9,40,41,39,51,0,16,15,172,4.72,232,87,15056.33
Alvaro Montero,COL,GK,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Amad Diallo,CIV,FW,2.0,0.0,211.0,0,4,8,25,6,2,0,1.44,1.39x,4,73,69,95,7,29,7,4,100,1,100,0,8,54,12,0,2,0,0,0,1,,,,95,34,40,21,31,64,3,48,62,193,6.15,270,104,21888.37
Amadou Onana,BEL,MF,0.0,0.0,127.0,0,0,2,0,0,2,0,0.07,0x,0,64,57,89,0,0,1,1,100,0,0,0,25,26,9,1,3,0,0,0,0,,,,44,2,16,26,35,9,0,6,29,143,4.31,146,44,13465.81
Amar Dedic,BIH,DF,0.0,0.0,310.0,0,1,2,0,0,2,0,0.06,0x,0,99,80,81,0,0,8,1,0,3,100,0,14,95,11,6,3,1,0,0,0,,,,56,23,19,14,11,45,1,3,40,204,4.44,356,141,30604.3
Amar Memic,BIH,MF,0.0,0.0,254.0,0,1,3,0,2,1,0,0.19,0x,0,52,39,75,5,0,1,4,0,0,0,0,13,54,10,3,3,0,0,0,0,,,,67,38,19,10,22,45,0,20,40,135,6.46,306,152,27462.49
Amer Jamous,JOR,MF,0.0,0.0,19.0,0,0,0,0,0,0,0,0.0,0x,0,4,4,100,0,0,0,0,0,0,0,0,2,26,2,1,0,0,0,0,0,,,,4,1,3,0,4,0,0,2,2,8,2.19,48,10,2136.97
Amine Gouiri,ALG,FW,1.0,0.0,270.0,0,2,3,33,2,1,0,0.62,1.61x,0,58,51,88,1,0,1,0,0,0,0,0,7,126,12,1,1,0,0,0,0,,,,188,69,107,12,139,49,3,40,40,137,6.17,355,131,27787.87
Amir Alammari,IRQ,MF,0.0,1.0,279.0,1,0,0,0,0,0,0,0.0,0x,3,125,99,79,7,43,1,7,57,0,0,0,19,64,19,3,0,2,0,0,0,,,,80,5,35,40,49,31,1,6,40,261,6.6,383,104,30575.01
Amir Hadziahmetovic,BIH,MF,0.0,0.0,12.0,0,0,0,0,0,0,0,0.0,0x,1,3,3,100,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,,,,1,0,1,0,1,0,0,0,0,9,1.61,21,5,1349.67
Amir Murillo,PAN,DF,0.0,0.0,303.0,0,1,5,0,4,1,0,0.37,0x,0,112,88,79,8,50,5,12,58,1,100,0,11,68,15,1,7,0,0,0,1,,,,101,35,46,20,15,86,5,26,67,260,6.27,332,156,31781.32
Amirhossein Hosseinzadeh,IRN,FW,0.0,0.0,26.0,0,0,1,0,1,0,0,0.09,0x,0,14,10,71,0,0,0,3,67,1,100,0,3,13,3,0,0,0,0,0,0,,,,15,4,9,2,8,7,0,3,8,33,4.82,47,17,3200.06
