Player,Country,Position,Goals,Minutes Played,Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied,Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Offers To Receive,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Receptions In Behind,Receptions Between Midfield And Defensive Line,Receptions Under Pressure,Player Involvements,Average Speed (km/h),High Speed Running,Sprints,Total Distance (m),Attacking Impact Score,Passing Impact Score,Defensive Impact Score,Movement Impact Score,Goalkeeping Impact Score
Lukas Provod,CZE,MF,0.0,137.0,0,0,1,0,0,1,0,0.05,0.0,0,48,37,77,2,50,1,3,100,0,0,0,9,49,5,2,1,0,0,0,1,,,,50,31,15,4,24,26,2,24,20,109,6.94,228,88,16011.22,-0.9806343567918575,0.18797704008215355,-0.048115718610799114,0.2711163398100332,
Lutsharel Geertruida,NED,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.6319565631539041,-3.2142549945655188,
Lyle Foster,RSA,FW,0.0,59.0,0,0,1,0,1,0,1,0.07,0.0,0,5,1,20,0,0,0,1,0,0,0,0,1,25,1,0,1,0,0,0,0,,,,20,10,8,2,12,8,0,6,7,15,1.49,66,16,5968.5,-0.7488495407898266,-2.1903520243097887,-1.0589618874959326,-2.223351615014425,
Lyndon Dykes,SCO,FW,0.0,49.0,0,0,1,0,1,0,1,0.15,0.0,0,11,7,64,1,0,0,4,25,0,0,0,3,22,3,2,0,0,0,0,0,,,,27,11,16,0,24,3,0,13,11,27,4.83,78,34,5899.41,-0.686587815591528,-1.2633506811726845,-1.0164443808262678,-1.534962422001501,
Maghnes Akliouche,FRA,MF,0.0,10.0,0,0,0,0,0,0,0,0.0,0.0,0,7,5,71,2,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,,,,11,3,5,3,7,4,0,2,4,20,1.18,24,5,1369.75,-1.3243189297858935,-1.721479932647335,-1.4201210684161072,-2.706394482913673,
Mahdy Soliman,EGY,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.6319565631539041,-3.2142549945655188,-1.2038479457474982
Mahmoud Abunada,QAT,GK,0.0,310.0,0,0,0,0,0,0,0,0.0,0.0,0,93,50,54,0,0,0,8,0,0,0,1,0,0,0,1,1,1,0,0,0,16.0,124.0,103.0,7,0,0,7,4,3,0,0,3,162,3.1,20,2,16005.91,-1.3243189297858935,-0.7330044648728047,-1.459900097840634,-2.2401135555928398,3.8978016534289632
Mahmoud Almardi,JOR,FW,0.0,152.0,0,1,1,0,1,0,0,0.02,0.0,1,39,32,82,7,14,3,5,60,0,0,0,6,90,16,4,2,0,0,0,0,,,,80,28,48,4,49,31,4,17,37,105,7.38,328,87,18861.43,-0.7248874889175315,0.22381422624577807,1.0688452754817768,1.3304381176978264,
Mahmoud Saber,EGY,MF,1.0,51.0,0,1,3,33,1,2,0,0.16,6.15,0,34,30,88,1,100,1,1,0,0,0,0,3,10,1,2,1,1,0,0,0,,,,50,2,14,34,26,24,0,3,10,80,2.74,123,30,6589.64,1.3249081721783407,-0.4474830425714733,-1.1005481233607166,-1.2958033926235888,
Malick Thiaw,GER,DF,0.0,50.0,0,0,0,0,0,0,0,0.0,0.0,0,38,33,87,0,0,0,0,0,0,0,0,3,7,3,1,1,0,0,0,0,,,,1,0,0,1,0,1,0,2,12,80,3.0,69,20,5108.07,-1.3243189297858935,-1.459799093444777,-1.0106055896752058,-2.3970288390541956,
Malik Tillman,USA,MF,2.0,415.0,1,4,8,25,5,3,0,0.73,2.75,10,163,129,79,15,27,7,18,50,2,100,0,15,115,25,3,14,1,0,0,0,,,,136,28,73,35,93,43,7,68,118,418,6.45,607,215,44391.65,5.0687582667211135,4.263068740200202,4.525731096847227,5.640466890187608,
Malo Gusto,FRA,DF,0.0,48.0,0,0,0,0,0,0,0,0.0,0.0,0,32,31,97,0,0,0,0,0,1,100,0,1,9,5,2,0,0,0,0,0,,,,21,7,7,7,4,17,0,5,6,67,3.91,55,22,5482.73,-1.3243189297858935,-0.4892503989152974,-1.1619450682129857,-1.9142037778452108,
Mamadou Sarr,SEN,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.6319565631539041,-3.2142549945655188,
Manu Kone,FRA,MF,0.0,426.0,0,2,6,0,1,5,0,0.19,0.0,0,263,242,92,1,0,2,3,100,2,50,0,24,91,23,6,7,1,0,0,0,,,,90,3,24,63,63,27,1,12,96,586,4.6,590,110,45337.05,1.1145477682496527,2.4921225529968067,3.4930429648152574,2.9034635843441254,
Manuel Akanji,SUI,DF,0.0,673.0,0,1,1,0,1,0,0,0.18,0.0,0,479,444,93,0,0,0,8,88,8,100,0,15,44,21,4,4,0,0,0,0,,,,108,2,6,100,56,52,1,4,75,999,5.6,631,187,62661.14,-0.6627494913073609,5.937069638149948,1.772030648977502,4.261223355060238,
Manuel Neuer,GER,GK,0.0,442.0,0,0,0,0,0,0,0,0.0,0.0,0,129,118,91,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,7.0,61.0,45.0,28,0,0,28,19,9,0,0,5,256,3.47,82,19,25681.69,-1.3243189297858935,-0.5980337075309934,-1.287843632527364,-1.3408234664679306,1.1276467584873962
Manuel Ugarte,URU,MF,0.0,197.0,0,1,3,0,0,3,0,0.09,0.0,0,136,118,87,0,0,0,4,50,1,0,0,3,40,17,1,0,0,0,0,0,,,,93,1,20,72,73,20,0,4,61,296,6.4,239,72,21107.39,-0.09430193452077923,0.26384791261527024,0.04531930779405069,1.1901436227522848,
Marawan Attia,EGY,MF,0.0,495.0,1,1,4,0,1,3,0,0.05,0.0,0,357,313,88,8,38,0,15,47,8,100,0,18,182,29,8,1,2,0,0,0,,,,245,8,79,158,140,105,0,22,119,749,6.85,829,260,56580.27,0.5586799536640336,5.875506156637564,3.464755286847951,7.900348243956536,
Marc Cucurella,ESP,DF,0.0,717.0,2,3,4,0,3,1,1,0.3,0.0,0,389,358,92,13,23,1,12,50,2,100,0,18,98,22,7,2,1,0,0,3,,,,342,139,109,94,73,269,15,105,145,809,6.25,774,304,74687.76,1.8401281260134974,5.040544672238272,2.274841537040022,13.114197013100956,
Marc Guehi,ENG,DF,0.0,664.0,0,0,1,0,1,0,1,0.15,0.0,0,455,442,97,0,0,2,8,88,4,75,0,6,18,7,2,11,1,0,0,0,,,,79,1,2,76,39,40,0,3,32,814,5.94,504,144,52622.08,-0.686587815591528,5.058591256599376,1.2651713189918232,2.4877338925704975,
