Player,Country,Position,Goals,Minutes Played,Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied,Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Offers To Receive,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Receptions In Behind,Receptions Between Midfield And Defensive Line,Receptions Under Pressure,Player Involvements,Average Speed (km/h),High Speed Running,Sprints,Total Distance (m),Attacking Impact Score,Passing Impact Score,Defensive Impact Score,Movement Impact Score,Goalkeeping Impact Score
Callum Mccowatt,NZL,MF,0.0,173.0,0,3,4,0,3,1,1,0.21,0.0,0,93,78,84,2,0,1,3,33,0,0,0,9,55,11,4,1,1,0,0,0,,,,110,32,55,23,59,51,3,22,53,205,7.24,334,110,20963.57,0.953500156798747,-0.3248655113830147,0.3879295566079422,2.330393839664488,
Cameron Burgess,AUS,DF,0.0,152.0,0,0,0,0,0,0,0,0.0,0.0,0,56,45,80,0,0,0,2,50,1,0,1,2,14,9,0,0,0,0,0,0,,,,9,0,1,8,3,6,0,0,20,113,2.9,147,33,15035.64,-1.3243189297858935,-0.6119861903074286,-0.7978513206409658,-1.8184521489120569,
Cameron Devlin,AUS,MF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.6319565631539041,-3.2142549945655188,
Camilo Vargas,COL,GK,0.0,541.0,0,0,0,0,0,0,0,0.0,0.0,0,202,157,78,0,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,7.0,57.0,54.0,53,0,0,53,30,23,0,0,3,368,2.57,27,9,23127.14,-1.3243189297858935,0.7075848844785293,-1.6319565631539041,-0.9855677520011256,1.2282064688195584
Can Uzun,TUR,FW,0.0,55.0,0,1,4,0,3,1,0,0.39,0.0,0,24,22,92,0,0,4,0,0,0,0,0,4,9,3,0,1,0,0,0,0,,,,24,5,6,13,13,11,1,9,20,64,4.39,92,27,6108.16,0.3571005052845317,-1.138187099498565,-0.9261275139715326,-1.5050012268539092,
Carl Sainte,HAI,MF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.6319565631539041,-3.2142549945655188,
Carl Starfelt,SWE,DF,0.0,10.0,0,0,0,0,0,0,0,0.0,0.0,0,12,11,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,1,27,1.66,8,3,1116.66,-1.3243189297858935,-1.6213377261564308,-1.6319565631539041,-2.965654199137287,
Carlens Arcus,HAI,DF,0.0,171.0,0,0,0,0,0,0,0,0.0,0.0,0,61,54,89,2,50,0,1,0,0,0,0,12,34,11,5,3,1,0,0,2,,,,41,11,25,5,10,31,0,11,10,124,6.07,247,86,18006.56,-1.3243189297858935,-0.6584839584387981,0.6862849008535271,-0.3177581444526884,
Carlos Acevedo,MEX,GK,0.0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.6319565631539041,-3.2142549945655188,-1.2038479457474982
Carlos Harvey,PAN,DF,0.0,295.0,0,0,5,0,4,1,2,0.29,0.0,0,107,85,79,1,0,4,3,33,6,67,0,28,53,19,8,3,1,0,0,0,,,,94,10,45,39,63,31,3,23,57,255,6.82,446,118,33573.58,0.7997735508994087,1.6617310279317643,2.3866230685768586,2.397232765053111,
Carney Chukwuemeka,AUT,MF,0.0,108.0,0,1,2,0,2,0,0,0.56,0.0,0,30,25,83,0,0,1,0,0,0,0,0,7,51,4,2,2,0,0,0,0,,,,39,11,17,11,24,15,1,18,27,77,4.93,160,58,11569.81,-0.09118531001481266,-1.4632541362528833,-0.04012136929896803,-0.623751647637794,
Casemiro,BRA,MF,1.0,425.0,0,2,4,25,2,2,2,0.66,1.51,0,224,200,89,4,25,1,8,50,4,100,0,20,103,26,6,6,2,0,0,0,,,,114,6,37,71,85,29,2,15,79,487,6.37,449,116,45002.51,2.2530001732409803,3.2047562201892945,3.389476865013835,3.2023707816968896,
Castrop Jens,KOR,DF,0.0,51.0,0,0,0,0,0,0,0,0.0,0.0,0,30,27,90,4,25,1,2,100,1,100,0,2,13,5,3,0,0,0,0,0,,,,19,4,15,0,3,16,3,13,12,65,2.16,40,32,5519.79,-1.3243189297858935,0.9308039866446524,-1.0553046359543516,-1.7420274970964904,
Cecilio Waterman,PAN,FW,0.0,85.0,0,1,2,0,2,0,0,0.05,0.0,0,10,7,70,0,0,0,1,0,0,0,0,7,19,2,1,1,0,0,0,0,,,,19,14,5,0,17,2,1,12,13,26,3.89,82,34,8772.9,-0.4881038081539663,-1.7383376723538961,-0.6899616080095679,-1.6570039889420822,
Cedric Bakambu,COD,FW,0.0,210.0,0,0,3,0,1,2,1,0.24,0.0,0,23,16,70,1,0,2,1,0,0,0,0,7,80,4,2,1,0,0,0,4,,,,155,91,64,0,128,27,2,29,29,63,4.6,256,117,21517.52,-0.007001385253243771,-1.3945975711646945,0.10917633543469714,2.576754503564453,
Cedric Itten,SUI,FW,0.0,62.0,0,0,0,0,0,0,0,0.0,0.0,0,5,3,60,1,0,0,0,0,0,0,0,4,27,6,4,2,0,0,0,0,,,,28,26,2,0,22,6,1,6,7,19,3.63,89,33,7441.56,-1.3243189297858935,-1.8859293386000788,-0.3698307368866838,-1.6273575239750346,
Cesar Blackman,PAN,DF,0.0,187.0,0,1,2,0,2,0,0,0.08,0.0,0,79,69,87,0,0,4,2,100,0,0,0,7,41,12,2,2,1,0,0,1,,,,68,10,47,11,7,61,1,23,51,172,3.91,180,64,18333.59,-0.4647556612046044,0.22529290684243153,0.34181112199803754,0.5120662160967017,
Cesar Huerta,MEX,FW,0.0,12.0,0,0,0,0,0,0,0,0.0,0.0,0,2,2,100,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,,,,3,3,0,0,0,3,0,1,3,5,1.49,21,7,1580.4,-1.3243189297858935,-1.6365531372146325,-1.5260388157850056,-2.865764347160102,
Cesar Montes,MEX,DF,0.0,349.0,0,1,1,0,1,0,1,0.06,0.0,0,170,156,92,2,0,0,5,40,2,100,0,9,14,4,4,4,0,1,0,0,,,,26,2,1,23,13,13,1,3,23,361,5.3,267,84,31113.19,-0.5109726862578832,1.655408730751541,0.01861940335821654,-0.14486312899868653,
Cesar Samudio,PAN,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.6319565631539041,-3.2142549945655188,-1.2038479457474982
Cesar Yanis,PAN,MF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.6319565631539041,-3.2142549945655188,
Chadi Riad,MAR,DF,0.0,390.0,1,0,1,0,1,0,1,0.12,0.0,0,226,212,94,0,0,1,1,0,1,100,0,7,30,12,0,1,0,0,0,0,,,,77,0,3,74,48,29,0,2,22,464,3.94,393,99,38595.32,-0.3016441983575577,1.2515801715405563,0.04786169563248147,1.1098977469851314,
Chancel Mbemba,COD,DF,0.0,409.0,1,0,1,0,1,0,0,0.05,0.0,0,162,130,80,4,0,2,7,43,3,100,0,9,23,12,1,2,1,0,0,0,,,,35,2,1,32,12,23,0,11,35,340,5.4,347,135,36904.51,-0.6012926007529947,2.124151217717005,0.2669813513008118,0.5891010990292503,
Charles De Ketelaere,BEL,FW,3.0,385.0,1,5,6,50,6,0,3,1.51,1.98,0,91,72,79,5,0,3,13,46,1,0,0,19,146,18,2,3,0,0,0,2,,,,161,101,56,4,105,56,10,80,82,230,5.32,426,217,40926.71,6.130742412138573,1.1472438925374866,2.794738141785164,5.670616961925557,
Charles Pickel,COD,MF,0.0,45.0,0,0,1,0,1,0,0,0.1,0.0,0,22,19,86,0,0,0,0,0,2,50,0,3,25,3,2,1,1,0,0,0,,,,24,6,10,8,9,15,0,4,11,46,3.67,77,35,5540.28,-0.9706707866873903,-0.8261829279171761,-0.8111443806805559,-1.7868084538225986,
Che Adams,SCO,FW,0.0,160.0,0,1,1,0,1,0,0,0.15,0.0,0,19,12,63,0,0,0,2,0,0,0,0,6,73,4,4,2,0,0,0,0,,,,63,34,26,3,56,7,3,9,16,41,6.82,192,75,17234.99,-0.686097638256723,-1.6495678377004561,0.1413488336568917,0.1824003859995616,
Chemsdine Talbi,MAR,MF,0.0,217.0,1,0,2,0,1,1,0,0.05,0.0,0,54,47,87,9,11,1,3,33,0,0,0,6,59,7,0,0,0,0,0,0,,,,84,42,31,11,25,59,3,25,34,144,5.75,280,128,23817.14,-0.29652160600789557,-0.09924162792707548,-0.17312149007744704,1.539751948624412,
Cherif Ndiaye,SEN,FW,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.6319565631539041,-3.2142549945655188,
Cho Guesung,KOR,FW,0.0,41.0,0,1,2,0,2,0,2,0.51,0.0,0,7,4,57,0,0,0,0,0,0,0,0,4,13,1,1,0,1,0,0,0,,,,16,11,5,0,10,6,2,8,7,19,4.22,37,22,4408.36,0.3602398974301021,-1.956108626910062,-1.1770453346928333,-1.9085450891170552,
Cho Wije,KOR,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.6319565631539041,-3.2142549945655188,
Chris Brady,USA,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.6319565631539041,-3.2142549945655188,-1.2038479457474982
Chris Richards,USA,DF,0.0,419.0,0,0,1,0,1,0,1,0.06,0.0,0,291,277,95,0,0,0,2,0,2,100,0,4,22,11,8,3,1,0,0,0,,,,32,2,1,29,21,11,0,1,39,597,4.91,486,97,42886.99,-0.756632256439614,2.0036790298524334,0.05478500833406547,0.8384465481383581,
Chris Wood,NZL,FW,0.0,306.0,2,2,5,0,3,2,2,0.47,0.0,0,47,36,77,0,0,2,8,13,0,0,0,8,88,5,2,1,0,0,0,4,,,,108,48,59,1,77,31,0,54,55,119,6.11,333,144,31195.3,2.2767151094701763,-0.497767115782386,0.3217345150622296,2.5733811720428954,
Christ Inao Oulai,CIV,MF,0.0,240.0,0,0,2,0,1,1,0,0.13,0.0,0,125,115,92,0,0,4,4,100,3,100,0,21,82,20,3,5,0,0,0,0,,,,76,1,36,39,37,39,0,22,58,286,6.06,261,70,24246.36,-0.6425516449929293,2.160078198980952,2.6774731694683274,1.1492646371972233,
Christian Fassnacht,SUI,FW,0.0,12.0,0,0,0,0,0,0,0,0.0,0.0,0,5,5,100,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,,,,3,0,3,0,2,1,1,5,6,12,1.42,31,14,1743.81,-1.3243189297858935,-1.61121546324101,-1.4201210684161072,-2.6797624552031927,
Christian Pulisic,USA,FW,0.0,253.0,1,2,4,0,2,2,0,0.42,0.0,1,81,71,88,6,17,8,7,71,0,0,0,8,73,9,1,6,0,0,0,2,,,,177,57,90,30,80,97,4,47,66,211,5.62,380,137,29436.84,1.1257354475298524,1.3242668163443974,1.262171304502278,4.441741300668322,
Christopher Bonsu Baah,GHA,FW,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.6319565631539041,-3.2142549945655188,
Christopher Operi,CIV,DF,0.0,100.0,0,0,0,0,0,0,0,0.0,0.0,0,78,70,90,1,0,1,3,33,0,0,0,4,20,3,2,0,0,0,0,0,,,,15,10,2,3,10,5,0,10,29,157,1.6,142,55,10698.42,-1.3243189297858935,-0.43062399716561894,-0.976291018232517,-1.5467822309464385,
Cj Dos Santos,CPV,GK,0.0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.6319565631539041,-3.2142549945655188,-1.2038479457474982
Cody Gakpo,NED,FW,3.0,394.0,1,6,10,30,8,2,2,1.35,2.23,1,100,79,79,10,10,7,18,67,1,0,0,15,127,7,3,3,0,0,0,3,,,,103,56,39,8,54,49,5,86,72,257,5.98,418,177,39227.0,7.008110449445446,2.5749232721700714,1.6574095010694467,3.9376081695253338,
Connor Metcalfe,AUS,MF,1.0,354.0,0,2,5,20,1,4,0,0.11,9.21,3,80,65,81,8,13,3,7,71,1,0,0,28,180,11,1,0,0,0,0,0,,,,140,34,89,17,80,60,2,37,64,199,6.49,513,175,38524.77,2.4186749034892348,1.0440429464568373,2.7850190398052646,3.925518359853965,
Craig Gordon,SCO,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.6319565631539041,-3.2142549945655188,-1.2038479457474982
Cristian Martinez,PAN,MF,0.0,264.0,0,0,1,0,1,0,0,0.24,0.0,4,78,57,73,12,17,1,9,22,1,0,0,11,105,17,5,5,0,0,0,1,,,,73,28,34,11,30,43,4,37,42,188,6.73,319,147,29553.99,-0.6121709564446612,0.7898911443956117,2.1244039755863313,1.9366644730522113,
Cristian Roldan,USA,MF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.6319565631539041,-3.2142549945655188,
Cristian Romero,ARG,DF,1.0,612.0,0,2,3,33,3,0,3,0.41,2.45,0,389,378,97,0,0,3,1,0,0,0,0,7,36,18,7,2,0,0,0,0,,,,24,3,2,19,15,9,1,4,60,706,4.13,263,72,41848.49,2.1430001749959966,1.9361806115625246,0.6559634361644929,0.5856614633311261,
Cristian Volpato,AUS,FW,0.0,180.0,0,1,4,0,2,2,0,0.28,0.0,7,66,52,79,13,23,11,9,56,0,0,0,11,64,4,1,2,0,0,0,0,,,,75,17,52,6,43,32,1,58,70,188,5.16,322,94,20702.13,0.7371388107863268,1.9067878686298234,0.35319682490312654,1.7008996498677882,
Cristiano Ronaldo,POR,FW,3.0,490.0,0,9,18,17,15,3,0,2.94,1.02,0,99,86,87,1,0,0,4,25,0,0,0,7,72,6,2,5,0,0,0,6,,,,187,92,81,14,147,40,8,65,69,239,5.07,330,153,41504.05,10.001444897290328,-0.37303156551537175,0.8319388389858863,5.288513395058201,
Crysencio Summerville,NED,FW,2.0,282.0,2,2,2,100,1,1,0,0.16,12.33,3,67,56,84,8,13,5,6,83,0,0,0,17,75,13,2,5,1,0,0,1,,,,80,39,28,13,40,40,6,46,62,182,6.16,285,131,28089.07,4.07776388250858,0.9736777560426498,1.9194908051182815,2.297820971335743,
Cucho Hernandez,COL,FW,0.0,66.0,1,0,1,0,1,0,1,0.04,0.0,0,8,5,63,1,100,0,0,0,0,0,0,0,24,3,0,1,0,0,0,0,,,,14,12,2,0,11,3,2,14,16,29,2.7,99,31,7494.21,-0.36390592355585627,-1.0489731649907938,-1.0091727164041724,-1.759962583716064,
Cyle Larin,CAN,FW,2.0,224.0,0,4,9,22,9,0,3,1.27,1.58,0,23,20,87,0,0,1,1,0,0,0,0,8,76,6,5,1,2,0,0,3,,,,76,44,21,11,48,28,1,29,34,74,4.5,216,96,20615.07,5.250210808976843,-1.3941583007736558,0.2503534099914396,0.7261941118759798,
Daichi Kamada,JPN,MF,2.0,359.0,0,0,1,200,0,1,0,0.09,23.09,1,200,170,85,4,50,1,6,50,3,100,0,13,116,22,2,4,1,0,0,1,,,,212,19,92,101,134,78,0,34,52,436,6.49,423,128,38789.21,4.398582428558174,2.7626896060674886,2.506837080917652,4.938499424573663,
Dailon Livramento,CPV,FW,0.0,198.0,0,0,1,0,0,1,0,0.0,0.0,0,19,15,79,3,33,1,0,0,0,0,0,8,93,4,1,1,0,0,0,2,,,,66,43,23,0,53,13,2,18,23,55,5.22,237,100,23067.28,-1.019547935040794,-1.147856392615691,0.3155473721906559,0.4954850444065054,
Daizen Maeda,JPN,MF,1.0,271.0,0,1,2,50,2,0,1,0.79,1.27,0,30,28,93,3,0,0,1,100,0,0,0,18,125,22,2,1,0,0,0,1,,,,102,73,25,4,71,31,8,31,33,92,5.36,432,239,32326.01,1.5373880102889659,-0.40298058276119664,2.401976885218726,3.05016895807894,
Damian Bobadilla,PAR,MF,0.0,216.0,0,0,0,0,0,0,0,0.0,0.0,0,32,24,75,1,100,0,1,0,1,100,1,5,95,22,1,1,0,0,0,0,,,,26,4,10,12,18,8,1,4,13,72,6.04,336,98,25835.61,-1.3243189297858935,0.2387898630751001,1.2594371879610555,-0.41887331105881903,
Dan Burn,ENG,DF,0.0,59.0,0,0,0,0,0,0,0,0.0,0.0,0,4,2,50,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,1,0,0,1,1,0,0,0,2,8,1.97,31,8,3938.06,-1.3243189297858935,-1.8597695022691367,-1.6208753848764237,-2.8275254367076155,
Dan Ndoye,SUI,FW,2.0,437.0,0,8,16,13,15,1,1,0.86,2.31,0,92,73,79,13,15,8,10,50,0,0,0,32,141,20,5,16,0,0,0,4,,,,133,85,48,0,63,70,19,85,97,281,6.21,509,248,44247.46,7.333165009386315,1.7905205161856055,5.909356716921482,6.4177095841281,
Dani Olmo,ESP,FW,0.0,456.0,2,1,11,0,6,5,1,0.76,0.0,0,203,186,92,1,0,12,15,73,2,100,0,30,240,23,5,8,0,0,0,0,,,,256,76,139,41,206,50,3,73,103,474,6.59,725,235,49694.66,3.753360844322539,4.155585675469156,5.690089308365398,8.191180571364011,
Danial Iri,IRN,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.6319565631539041,-3.2142549945655188,
Daniel Munoz,COL,DF,2.0,451.0,0,2,3,67,3,0,0,0.64,3.11,0,213,194,91,9,22,0,5,20,0,0,0,11,64,20,9,1,0,0,0,3,,,,338,135,109,94,53,285,8,38,52,461,6.53,598,221,47613.35,2.5475418903930516,1.2840795169027264,1.1666289077334782,9.494354257236566,
Daniel Svensson,SWE,DF,0.0,114.0,0,0,1,0,0,1,0,0.01,0.0,1,46,38,83,2,50,0,3,33,0,0,0,8,24,3,0,0,0,0,0,1,,,,31,9,18,4,17,14,0,8,12,88,5.41,149,63,13088.54,-0.9493797666045801,-0.399989514350581,-0.6827034285277471,-1.006452351293092,
Danilo,BRA,DF,0.0,471.0,0,0,1,0,1,0,0,0.04,0.0,0,294,262,89,7,29,1,6,50,1,100,0,3,50,8,7,1,2,0,0,1,,,,198,45,41,112,35,163,4,21,44,604,5.68,495,217,44689.09,-1.0173670805861141,3.180082775135605,-0.22614975244866103,5.612972789152363,
Danilo Santos,BRA,MF,0.0,73.0,0,1,2,0,2,0,1,0.19,0.0,0,30,23,77,0,0,0,2,100,0,0,0,1,22,4,0,0,0,0,0,0,,,,29,10,10,9,20,9,0,3,18,65,5.79,115,43,8458.78,-0.13397639621001814,-0.6426800330632091,-1.0794827848647153,-1.2726635606956365,
Danley Jean Jacques,HAI,MF,0.0,288.0,0,0,0,0,0,0,0,0.0,0.0,0,116,102,88,2,0,1,1,0,3,100,0,11,78,25,5,3,1,0,0,0,,,,73,2,27,44,36,37,0,11,30,243,6.87,470,138,33149.8,-1.3243189297858935,0.7996693449261713,1.9738435055396275,1.479257716303772,
Darwin Nunez,URU,FW,0.0,182.0,0,0,2,0,1,1,1,0.2,0.0,0,25,20,80,3,33,1,3,100,1,100,0,6,95,2,1,1,0,0,0,2,,,,36,30,6,0,27,9,4,26,25,65,6.09,190,93,19040.35,-0.34290324259749216,0.89072950370595,0.08989222193024048,0.049095981355486006,
David Affengruber,AUT,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.6319565631539041,-3.2142549945655188,
David Alaba,AUT,DF,0.0,302.0,1,0,2,0,0,2,0,0.02,0.0,1,222,198,89,1,0,0,5,80,1,0,0,5,28,9,2,0,0,0,0,0,,,,40,3,7,30,17,23,0,4,54,441,5.93,297,70,29617.98,-0.22853429202636158,1.3656765566085143,-0.45576766731010265,0.4836623127791863,
David Doudera,CZE,DF,0.0,100.0,0,0,4,0,1,3,0,0.05,0.0,0,47,34,72,4,25,1,3,0,0,0,0,1,23,0,0,1,0,0,0,0,,,,23,10,10,3,7,16,0,10,20,107,2.09,114,34,10486.58,-0.09527138070102947,-0.7514173711851231,-1.14271727830987,-1.590709822706635,
David Jurasek,CZE,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.6319565631539041,-3.2142549945655188,
David Moller Wolfe,NOR,DF,0.0,477.0,1,0,0,0,0,0,0,0.0,0.0,0,186,162,87,7,14,3,7,43,0,0,0,13,70,22,7,2,0,0,0,0,,,,164,45,73,46,62,102,4,26,76,382,5.1,520,216,48590.19,-0.9160271656025611,1.4694422774833533,1.6529899495270077,5.0263588661518765,
David Ospina,COL,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.6319565631539041,-3.2142549945655188,-1.2038479457474982
David Raum,GER,DF,0.0,123.0,0,1,1,0,1,0,0,0.04,0.0,2,52,44,85,14,21,1,4,50,1,0,0,18,29,8,2,0,0,0,0,0,,,,54,27,14,13,18,36,4,13,15,134,3.53,198,85,13697.63,-0.6469366048315303,0.661912330314027,0.30382482564165636,-0.075519069857261,
David Raya,ESP,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.6319565631539041,-3.2142549945655188,-1.2038479457474982
David Zima,CZE,DF,0.0,19.0,0,0,0,0,0,0,0,0.0,0.0,0,7,6,86,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,,,,2,0,1,1,1,1,0,0,1,16,2.36,23,9,2311.48,-1.3243189297858935,-1.7122159532285608,-1.5260388157850056,-2.801230000101545,
Davinson Sanchez,COL,DF,0.0,541.0,0,2,6,0,5,1,4,0.54,0.0,0,361,324,90,0,0,1,10,20,6,100,0,20,32,18,6,5,1,0,0,1,,,,59,0,1,58,22,37,0,8,53,755,5.36,441,145,48497.14,2.2518203548020344,4.22460432525114,1.9379124679276363,2.0633874065577746,
Dayne St Clair,CAN,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.6319565631539041,-3.2142549945655188,-1.2038479457474982
Dayot Upamecano,FRA,DF,0.0,687.0,0,1,3,0,3,0,2,0.53,0.0,0,429,396,92,0,0,2,6,67,4,100,0,17,54,26,6,4,0,0,0,0,,,,107,2,6,99,53,54,0,6,89,943,5.98,549,208,68521.18,0.6516263153303065,4.54826020533796,2.3154390413446126,4.361123340390196,
Dean Henderson,ENG,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.6319565631539041,-3.2142549945655188,-1.2038479457474982
Declan Rice,ENG,MF,0.0,519.0,1,2,5,0,3,2,1,0.24,0.0,27,248,225,91,36,33,2,10,50,4,75,0,8,66,10,3,0,2,0,0,1,,,,157,25,51,81,100,57,3,25,86,488,5.46,532,170,47405.89,3.1286587177283285,5.4502427021635045,0.21385729893926952,4.686738196711888,
Deiver Machado,COL,DF,0.0,99.0,0,0,0,0,0,0,0,0.0,0.0,0,23,22,96,2,0,0,1,100,0,0,0,4,21,2,1,2,0,0,0,0,,,,36,16,17,3,7,29,1,9,7,52,1.22,117,56,10069.09,-1.3243189297858935,-0.49176717270001213,-0.6826899435874724,-1.4122972703097836,
Dejan Ljubicic,AUT,MF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.6319565631539041,-3.2142549945655188,
Denil Castillo,ECU,MF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.6319565631539041,-3.2142549945655188,
Denis Visinsky,CZE,FW,0.0,59.0,0,0,3,0,2,1,0,0.26,0.0,0,14,14,100,0,0,2,0,0,0,0,0,4,20,0,0,1,0,0,0,0,,,,18,3,10,5,7,11,1,5,5,40,2.33,92,46,6956.61,-0.26555535494506416,-1.342113238477803,-0.9890136556961758,-1.9310505191927225,
